Model Type,Num. Parameters,Accuracy,F1 Score
NGM,48780921,0.8521536670547147,0.6691505300849664
NGM,48780921,0.8777648428405123,0.7215762032923435
NGM,48780921,0.7823050058207218,0.5902211612963725
NGM,48780921,0.8591385331781141,0.6861672951399833
NGM,48780921,0.8568102444703143,0.6736601607954833
NGM,29227385,0.8149010477299186,0.611836128144888
NGM,29227385,0.789289871944121,0.5276746379642965
NGM,29227385,0.8160651920838184,0.5994209982777083
NGM,29227385,0.8137369033760187,0.6110634951059722
NGM,29227385,0.779976717112922,0.5284899560669054
NGM,148833494,0.8742724097788126,0.7114399800134552
NGM,148833494,0.840512223515716,0.656764623528219
NGM,148833494,0.8416763678696159,0.6831437903937991
NGM,148833494,0.8812572759022119,0.7337101738876346
NGM,148833494,0.5040745052386496,0.1811985520663612
ResNet,21292880,0.7532013969732246,0.5305435616210539
ResNet,21292880,0.7764842840512224,0.5541269906402742
ResNet,21292880,0.6565774155995343,0.42311746837305664
ResNet,21292880,0.7694994179278231,0.5642804184742344
ResNet,21292880,0.7788125727590222,0.5391394249002188
ResNet,11184720,0.7660069848661234,0.5507856018209047
ResNet,11184720,0.7147846332945286,0.49836657359322545
ResNet,11184720,0.7415599534342259,0.4937362786757289
ResNet,11184720,0.7788125727590222,0.564255752269049
ResNet,11184720,0.5145518044237486,0.23597352110831227
ResNet,66867024,0.6868451688009313,0.4579123354991523
ResNet,66867024,0.5681024447031432,0.30153279701221514
ResNet,66867024,0.6519208381839348,0.3952015117852138
ResNet,66867024,0.7182770663562281,0.47666003808447693
ResNet,66867024,0.7147846332945286,0.5001884518462563
